Cell_ID	Cluster_PSE	Pseudotime_PSE
SLX_14254_i704_i504	7	62.35066707
SLX_14251_i709_i508	7	62.3983223
SLX_14255_i708_i506	7	62.41196545
SLX_14259_i706_i507	7	62.4137871
SLX_17311_i719_i521	2	62.43020348
SLX_14259_i721_i508	7	63.11785407
SLX_14252_i710_i508	7	63.14853718
SLX_14259_i719_i517	2	63.23018915
SLX_14253_i707_i505	7	63.85614836
SLX_14254_i706_i517	7	63.87139774
SLX_17311_i712_i506	6	63.89448298
SLX_14255_i707_i505	7	63.92478808
SLX_14255_i710_i508	7	64.60889135
SLX_14253_i706_i506	7	64.64465299
SLX_17313_i728_i517	7	64.65366714
SLX_14252_i712_i508	7	64.67822363
SLX_14255_i708_i503	7	65.37063097
SLX_14252_i712_i504	7	65.39868267
SLX_14251_i710_i507	7	65.42739471
SLX_14253_i707_i504	7	66.07347161
SLX_14251_i711_i507	7	66.07709325
SLX_14251_i709_i507	7	66.07800116
SLX_17312_i716_i513	7	66.10915601
SLX_14255_i712_i502	7	66.13742172
SLX_17312_i728_i522	7	66.14144791
SLX_14254_i703_i517	7	66.85283099
SLX_14259_i720_i508	7	66.89783861
SLX_14259_i720_i520	2	66.90499524
SLX_17311_i705_i510	7	67.54063699
SLX_17313_i714_i508	7	67.56291172
SLX_14255_i711_i506	7	67.57072952
SLX_14255_i710_i507	7	67.5947464
SLX_14252_i712_i517	7	67.59654964
SLX_14255_i708_i505	7	67.61270222
SLX_14251_i709_i502	7	67.63240837
SLX_14259_i705_i502	7	68.30905312
SLX_14259_i705_i505	7	68.31713483
SLX_14252_i711_i517	7	68.35913579
SLX_14254_i704_i507	7	68.36717276
SLX_14259_i719_i522	2	68.40432419
SLX_14251_i712_i503	7	69.0193979
SLX_14254_i704_i517	7	69.05800441
SLX_14259_i722_i508	2	69.14689616
SLX_14251_i709_i506	7	69.73795475
SLX_14251_i712_i508	6	69.7431214
SLX_17311_i715_i511	7	69.7919625
SLX_14259_i714_i502	2	69.82491791
SLX_14259_i707_i510	7	70.44985575
SLX_14253_i706_i517	7	70.47368199
SLX_14253_i705_i505	1	70.47376225
SLX_14254_i704_i503	7	70.47386251
SLX_17311_i702_i506	7	70.4885094
SLX_14259_i720_i511	7	71.17823745
SLX_14251_i710_i502	7	71.18272421
SLX_14252_i709_i517	7	71.19637319
SLX_14259_i718_i503	7	71.95727585
SLX_14259_i722_i506	2	72.0080235
SLX_14259_i718_i502	7	72.64284525
